user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
1,10/16/2024,Basic,14.99,1.2,2,0,2,0,No
2,4/25/2023,Standard,29.99,2.7,4,2,20,4,No
3,1/26/2023,Basic,14.99,1.9,7,0,3,588,Yes
4,10/9/2023,Basic,14.99,2.8,9,2,14,0,Yes
5,9/8/2023,Premium,49.99,3.8,5,0,16,1,No
6,8/17/2023,Basic,14.99,2.6,9,2,2,419,Yes
7,5/23/2023,Standard,29.99,2.7,3,3,19,1,No
8,4/15/2023,Basic,14.99,1.7,1,0,20,7,No
9,11/23/2024,Basic,14.99,3.3,4,0,1,4,No
10,7/12/2024,Basic,14.99,1.5,2,0,5,5,No
11,3/31/2023,Standard,29.99,3.3,7,1,21,1,Yes
12,8/27/2024,Basic,14.99,2.7,3,0,4,0,No
13,3/8/2024,Basic,14.99,2,9,2,9,0,Yes
14,2/2/2023,Standard,29.99,2.6,4,0,23,1,No
15,1/31/2023,Basic,14.99,1.1,7,0,1,665,Yes
16,4/6/2023,Basic,14.99,2.3,3,1,21,7,No
17,8/12/2023,Basic,14.99,2.2,1,0,16,6,No
18,8/27/2023,Basic,14.99,2.4,2,0,16,0,No
19,6/1/2024,Standard,29.99,1.9,6,1,7,4,Yes
20,9/8/2024,Basic,14.99,3.8,1,0,3,5,No
21,1/28/2023,Standard,29.99,3.5,3,0,23,1,No
22,7/28/2024,Standard,29.99,3.6,0,0,5,3,No
23,7/23/2023,Premium,49.99,3.5,1,0,17,3,No
24,10/27/2024,Standard,29.99,3.9,2,0,2,1,No
25,12/19/2024,Standard,29.99,1,4,0,1,0,No
26,7/12/2024,Standard,29.99,2.3,4,0,5,1,No
27,3/5/2024,Basic,14.99,0.6,3,0,1,265,Yes
28,8/14/2023,Standard,29.99,2.1,9,2,5,342,Yes
29,4/4/2024,Basic,14.99,1.2,0,0,9,1,No
30,8/26/2024,Standard,29.99,1.9,4,0,4,3,No
31,10/12/2023,Premium,49.99,4.2,3,2,14,1,No
32,1/7/2023,Premium,49.99,3.4,0,0,24,5,No
33,6/13/2023,Basic,14.99,2.2,4,1,3,478,Yes
34,12/15/2024,Basic,14.99,1.1,4,0,1,4,No
35,3/8/2024,Standard,29.99,3.8,2,1,9,0,No
36,12/15/2023,Standard,29.99,1.7,9,1,6,198,Yes
37,10/12/2023,Standard,29.99,2.4,1,0,14,8,No
38,6/9/2023,Standard,29.99,3.2,4,0,19,2,No
39,8/9/2023,Basic,14.99,1.8,7,1,3,420,Yes
40,12/11/2023,Premium,49.99,5.1,3,0,12,0,No
41,4/15/2023,Standard,29.99,3.9,3,1,20,1,No
42,4/5/2023,Basic,14.99,1.7,3,2,21,2,No
43,1/25/2024,Standard,29.99,3,5,2,11,1,Yes
44,4/10/2023,Basic,14.99,1.3,3,3,21,6,No
45,1/3/2024,Premium,49.99,4.9,5,0,12,2,No
46,12/19/2023,Premium,49.99,5.6,2,0,12,3,No
47,9/10/2024,Basic,14.99,1.6,5,0,3,1,No
48,9/28/2023,Standard,29.99,2.7,2,1,15,0,No
49,2/14/2023,Premium,49.99,4.7,2,0,22,2,No
50,4/15/2024,Basic,14.99,2,9,2,8,3,Yes
51,7/3/2024,Basic,14.99,2.6,4,0,6,1,No
52,5/8/2023,Basic,14.99,2.7,3,2,2,515,Yes
53,1/23/2024,Basic,14.99,2.3,5,0,11,2,No
54,3/22/2023,Standard,29.99,2.1,1,0,21,0,No
55,7/19/2024,Premium,49.99,3.9,5,0,5,0,No
56,10/28/2023,Basic,14.99,1.8,0,2,14,6,No
57,10/5/2024,Basic,14.99,2.4,1,1,2,5,No
58,9/25/2024,Basic,14.99,3.1,4,0,3,1,No
59,1/6/2024,Standard,29.99,2.6,11,0,5,202,Yes
60,8/14/2024,Basic,14.99,1.5,11,0,4,4,Yes
61,7/16/2023,Standard,29.99,3,5,0,5,362,Yes
62,12/22/2024,Standard,29.99,0.7,0,0,1,1,No
63,3/13/2023,Standard,29.99,3.2,5,0,21,1,No
64,2/16/2023,Standard,29.99,3.3,8,2,10,384,Yes
65,11/8/2024,Standard,29.99,7.8,4,0,1,0,No
66,8/22/2023,Premium,49.99,4.8,4,1,16,2,No
67,10/24/2023,Basic,14.99,2.4,2,0,14,3,No
68,3/23/2023,Premium,49.99,3.1,5,0,21,0,No
69,8/27/2023,Basic,14.99,1.1,0,1,16,4,No
70,4/14/2023,Basic,14.99,1.4,0,3,20,5,No
71,1/25/2024,Premium,49.99,5,5,1,11,1,No
72,10/12/2023,Standard,29.99,3.2,8,1,14,0,Yes
