user_id,signup_date,plan_type,monthly_fee,churn,churn_date
1,10/16/2024,Basic,14.99,No,
2,4/25/2023,Standard,29.99,No,
3,1/26/2023,Basic,14.99,Yes,5/23/2023
4,10/9/2023,Basic,14.99,Yes,12/31/2024
5,9/8/2023,Premium,49.99,No,
6,8/17/2023,Basic,14.99,Yes,11/12/2023
7,5/23/2023,Standard,29.99,No,
8,4/15/2023,Basic,14.99,No,
9,11/23/2024,Basic,14.99,No,
10,7/12/2024,Basic,14.99,No,
11,3/31/2023,Standard,29.99,Yes,12/31/2024
12,8/27/2024,Basic,14.99,No,
13,3/8/2024,Basic,14.99,Yes,12/31/2024
14,2/2/2023,Standard,29.99,No,
15,1/31/2023,Basic,14.99,Yes,3/9/2023
16,4/6/2023,Basic,14.99,No,
17,8/12/2023,Basic,14.99,No,
18,8/27/2023,Basic,14.99,No,
19,6/1/2024,Standard,29.99,Yes,12/31/2024
20,9/8/2024,Basic,14.99,No,
21,1/28/2023,Standard,29.99,No,
22,7/28/2024,Standard,29.99,No,
23,7/23/2023,Premium,49.99,No,
24,10/27/2024,Standard,29.99,No,
25,12/19/2024,Standard,29.99,No,
26,7/12/2024,Standard,29.99,No,
27,3/5/2024,Basic,14.99,Yes,4/12/2024
28,8/14/2023,Standard,29.99,Yes,1/29/2024
29,4/4/2024,Basic,14.99,No,
30,8/26/2024,Standard,29.99,No,
31,10/12/2023,Premium,49.99,No,
32,1/7/2023,Premium,49.99,No,
33,6/13/2023,Basic,14.99,Yes,9/12/2023
34,12/15/2024,Basic,14.99,No,
35,3/8/2024,Standard,29.99,No,
36,12/15/2023,Standard,29.99,Yes,6/16/2024
37,10/12/2023,Standard,29.99,No,
38,6/9/2023,Standard,29.99,No,
39,8/9/2023,Basic,14.99,Yes,11/9/2023
40,12/11/2023,Premium,49.99,No,
41,4/15/2023,Standard,29.99,No,
42,4/5/2023,Basic,14.99,No,
43,1/25/2024,Standard,29.99,Yes,12/31/2024
44,4/10/2023,Basic,14.99,No,
45,1/3/2024,Premium,49.99,No,
46,12/19/2023,Premium,49.99,No,
47,9/10/2024,Basic,14.99,No,
48,9/28/2023,Standard,29.99,No,
49,2/14/2023,Premium,49.99,No,
50,4/15/2024,Basic,14.99,Yes,12/31/2024
51,7/3/2024,Basic,14.99,No,
52,5/8/2023,Basic,14.99,Yes,8/4/2023
53,1/23/2024,Basic,14.99,No,
54,3/22/2023,Standard,29.99,No,
55,7/19/2024,Premium,49.99,No,
56,10/28/2023,Basic,14.99,No,
57,10/5/2024,Basic,14.99,No,
58,9/25/2024,Basic,14.99,No,
59,1/6/2024,Standard,29.99,Yes,6/12/2024
60,8/14/2024,Basic,14.99,Yes,12/31/2024
61,7/16/2023,Standard,29.99,Yes,1/6/2024
62,12/22/2024,Standard,29.99,No,
63,3/13/2023,Standard,29.99,No,
64,2/16/2023,Standard,29.99,Yes,12/16/2023
65,11/8/2024,Standard,29.99,No,
66,8/22/2023,Premium,49.99,No,
67,10/24/2023,Basic,14.99,No,
68,3/23/2023,Premium,49.99,No,
69,8/27/2023,Basic,14.99,No,
70,4/14/2023,Basic,14.99,No,
71,1/25/2024,Premium,49.99,No,
72,10/12/2023,Standard,29.99,Yes,12/31/2024
73,4/9/2024,Basic,14.99,No,
74,10/12/2024,Premium,49.99,No,
75,1/9/2024,Standard,29.99,Yes,6/26/2024
76,6/16/2023,Standard,29.99,No,
77,1/15/2024,Basic,14.99,No,
78,12/30/2023,Standard,29.99,No,
79,8/3/2023,Premium,49.99,No,
80,11/17/2024,Premium,49.99,No,
81,10/1/2023,Premium,49.99,No,
82,12/19/2024,Standard,29.99,No,
83,11/30/2024,Basic,14.99,No,
84,10/25/2024,Premium,49.99,No,
85,3/15/2023,Basic,14.99,No,
86,9/15/2024,Basic,14.99,No,
87,10/12/2024,Basic,14.99,Yes,12/31/2024
88,6/25/2023,Standard,29.99,No,
89,6/30/2024,Standard,29.99,No,
90,9/8/2023,Basic,14.99,No,
91,6/17/2023,Basic,14.99,Yes,12/12/2024
92,4/18/2024,Standard,29.99,No,
93,1/24/2024,Basic,14.99,No,
94,10/4/2023,Standard,29.99,No,
95,10/17/2024,Premium,49.99,Yes,12/31/2024
96,12/5/2024,Basic,14.99,No,
97,7/24/2024,Basic,14.99,No,
98,8/13/2023,Premium,49.99,No,
99,12/2/2024,Basic,14.99,Yes,12/31/2024
100,11/29/2023,Standard,29.99,No,
101,2/27/2023,Premium,49.99,Yes,6/3/2023
102,8/23/2023,Basic,14.99,No,
103,2/2/2023,Premium,49.99,No,
104,11/20/2023,Standard,29.99,Yes,10/19/2024
105,2/15/2024,Basic,14.99,No,
106,10/2/2023,Premium,49.99,Yes,5/7/2024
107,3/9/2023,Basic,14.99,No,
108,8/5/2023,Premium,49.99,No,
109,8/3/2024,Premium,49.99,No,
110,11/19/2023,Standard,29.99,No,
111,8/6/2023,Standard,29.99,No,
112,11/2/2024,Standard,29.99,No,
113,5/26/2024,Basic,14.99,No,
114,2/10/2024,Basic,14.99,No,
115,10/20/2024,Basic,14.99,No,
116,4/14/2024,Standard,29.99,No,
117,5/27/2023,Standard,29.99,Yes,9/3/2023
118,9/29/2023,Basic,14.99,No,
119,5/23/2023,Basic,14.99,No,
120,9/10/2023,Basic,14.99,No,
121,7/28/2024,Standard,29.99,No,
122,7/5/2024,Basic,14.99,No,
123,9/27/2023,Standard,29.99,Yes,2/17/2024
124,8/21/2024,Standard,29.99,No,
125,3/14/2024,Standard,29.99,No,
126,8/20/2024,Basic,14.99,Yes,12/31/2024
127,2/13/2024,Basic,14.99,No,
128,1/6/2024,Standard,29.99,Yes,10/7/2024
129,8/13/2023,Standard,29.99,No,
130,5/22/2023,Standard,29.99,No,
131,6/5/2024,Premium,49.99,No,
132,5/20/2024,Standard,29.99,No,
133,4/4/2023,Basic,14.99,Yes,7/28/2023
134,2/18/2023,Basic,14.99,Yes,6/21/2023
135,4/23/2023,Premium,49.99,No,
136,6/6/2023,Standard,29.99,Yes,9/16/2024
137,10/4/2024,Standard,29.99,No,
138,6/13/2023,Basic,14.99,No,
139,11/27/2024,Premium,49.99,No,
140,3/8/2024,Basic,14.99,No,
141,9/2/2024,Standard,29.99,No,
142,3/7/2023,Standard,29.99,No,
143,1/30/2024,Premium,49.99,No,
144,1/26/2024,Premium,49.99,No,
145,9/2/2024,Premium,49.99,No,
146,4/24/2024,Standard,29.99,Yes,12/31/2024
147,6/25/2024,Premium,49.99,No,
148,9/15/2023,Premium,49.99,No,
149,7/20/2024,Basic,14.99,Yes,12/26/2024
150,1/12/2023,Basic,14.99,No,
151,11/27/2024,Basic,14.99,No,
152,4/28/2023,Basic,14.99,No,
153,11/29/2024,Basic,14.99,No,
154,7/3/2024,Standard,29.99,No,
155,10/1/2023,Basic,14.99,No,
156,10/18/2024,Basic,14.99,No,
157,12/15/2023,Premium,49.99,No,
158,4/25/2023,Basic,14.99,No,
159,10/28/2023,Standard,29.99,No,
160,3/21/2024,Basic,14.99,No,
161,6/11/2023,Standard,29.99,No,
162,4/9/2024,Standard,29.99,Yes,12/31/2024
163,1/4/2023,Standard,29.99,Yes,9/2/2023
164,9/27/2023,Standard,29.99,No,
165,5/27/2024,Basic,14.99,Yes,11/19/2024
166,7/2/2023,Basic,14.99,No,
167,6/3/2024,Premium,49.99,No,
168,4/19/2023,Standard,29.99,No,
