transaction_id,user_id,payment_date,amount,status
1,1,10/16/2024,14.99,Success
2,1,11/15/2024,14.99,Success
3,1,12/15/2024,14.99,Success
4,2,4/25/2023,29.99,Success
5,2,5/25/2023,29.99,Success
6,2,6/24/2023,29.99,Success
7,2,7/24/2023,29.99,Success
8,2,8/23/2023,29.99,Failed
9,2,9/22/2023,29.99,Success
10,2,10/22/2023,29.99,Success
11,2,11/21/2023,29.99,Success
12,2,12/21/2023,29.99,Success
13,2,1/20/2024,29.99,Success
14,2,2/19/2024,29.99,Success
15,2,3/20/2024,29.99,Success
16,2,4/19/2024,29.99,Success
17,2,5/19/2024,29.99,Success
18,2,6/18/2024,29.99,Success
19,2,7/18/2024,29.99,Success
20,2,8/17/2024,29.99,Success
21,2,9/16/2024,29.99,Success
22,2,10/16/2024,29.99,Success
23,2,11/15/2024,29.99,Success
24,2,12/15/2024,29.99,Failed
25,3,1/26/2023,14.99,Success
26,3,2/25/2023,14.99,Success
27,3,3/27/2023,14.99,Success
28,3,4/26/2023,14.99,Success
29,4,10/9/2023,14.99,Success
30,4,11/8/2023,14.99,Success
31,4,12/8/2023,14.99,Success
32,4,1/7/2024,14.99,Failed
33,4,2/6/2024,14.99,Success
34,4,3/7/2024,14.99,Success
35,4,4/6/2024,14.99,Success
36,4,5/6/2024,14.99,Success
37,4,6/5/2024,14.99,Success
38,4,7/5/2024,14.99,Success
39,4,8/4/2024,14.99,Success
40,4,9/3/2024,14.99,Success
41,4,10/3/2024,14.99,Success
42,4,11/2/2024,14.99,Failed
43,4,12/2/2024,14.99,Success
44,5,9/8/2023,49.99,Success
45,5,10/8/2023,49.99,Success
46,5,11/7/2023,49.99,Success
47,5,12/7/2023,49.99,Success
48,5,1/6/2024,49.99,Success
49,5,2/5/2024,49.99,Success
50,5,3/6/2024,49.99,Success
51,5,4/5/2024,49.99,Success
52,5,5/5/2024,49.99,Success
53,5,6/4/2024,49.99,Success
54,5,7/4/2024,49.99,Success
55,5,8/3/2024,49.99,Success
56,5,9/2/2024,49.99,Success
57,5,10/2/2024,49.99,Success
58,5,11/1/2024,49.99,Success
59,5,12/1/2024,49.99,Success
60,5,12/31/2024,49.99,Success
61,6,8/17/2023,14.99,Success
62,6,9/16/2023,14.99,Failed
63,6,10/16/2023,14.99,Failed
64,7,5/23/2023,29.99,Success
65,7,6/22/2023,29.99,Success
66,7,7/22/2023,29.99,Success
67,7,8/21/2023,29.99,Success
68,7,9/20/2023,29.99,Success
69,7,10/20/2023,29.99,Success
70,7,11/19/2023,29.99,Success
71,7,12/19/2023,29.99,Success
72,7,1/18/2024,29.99,Success
73,7,2/17/2024,29.99,Success
74,7,3/18/2024,29.99,Success
75,7,4/17/2024,29.99,Success
76,7,5/17/2024,29.99,Failed
77,7,6/16/2024,29.99,Success
78,7,7/16/2024,29.99,Failed
79,7,8/15/2024,29.99,Success
80,7,9/14/2024,29.99,Success
81,7,10/14/2024,29.99,Success
82,7,11/13/2024,29.99,Success
83,7,12/13/2024,29.99,Failed
84,8,4/15/2023,14.99,Success
