ticket_id,user_id,date_opened,category,severity,resolution_time_hours
1,1,12/11/2024,Billing,Low,43
2,1,11/25/2024,Technical,High,61
3,2,6/26/2024,Billing,Low,46
4,2,9/27/2023,Access,Low,41
5,2,6/20/2024,Billing,Medium,87
6,2,11/19/2023,Technical,Medium,25
7,3,4/20/2023,Access,High,65
8,3,3/25/2023,Billing,Low,10
9,3,5/12/2023,Technical,Medium,104
10,3,5/13/2023,Access,Low,4
11,3,4/15/2023,Billing,Medium,13
12,3,5/6/2023,Billing,High,55
13,3,4/28/2023,Access,Low,36
14,4,12/14/2024,Billing,Low,42
15,4,11/10/2024,Billing,Low,26
16,4,12/15/2024,Technical,Low,5
17,4,5/6/2024,Billing,High,51
18,4,6/21/2024,Billing,Low,11
19,4,11/12/2024,Billing,Low,6
20,4,11/10/2024,Access,Medium,111
21,4,11/8/2024,Access,Low,33
22,4,8/17/2024,Billing,Low,10
23,5,12/22/2024,Access,Medium,100
24,5,5/6/2024,Billing,Low,34
25,5,11/27/2024,Technical,Medium,23
26,5,11/15/2024,Billing,Medium,118
27,5,9/18/2024,Billing,Medium,30
28,6,9/16/2023,Billing,Low,32
29,6,8/24/2023,Technical,Medium,17
30,6,9/3/2023,Technical,Medium,35
31,6,9/17/2023,Technical,Medium,69
32,6,10/21/2023,Technical,Medium,87
33,6,11/7/2023,Billing,Low,44
34,6,10/22/2023,Technical,Low,5
35,6,11/2/2023,Technical,Medium,47
36,6,10/27/2023,Technical,Low,26
37,7,12/21/2023,Access,Medium,101
38,7,12/17/2024,Technical,Medium,99
39,7,4/19/2024,Billing,Low,3
40,8,8/16/2024,Billing,Medium,52
41,9,12/26/2024,Billing,Low,18
42,9,12/17/2024,Technical,Medium,60
43,9,12/13/2024,Billing,Low,18
44,9,12/4/2024,Billing,Medium,97
45,10,11/6/2024,Technical,Low,8
46,10,11/25/2024,Billing,Medium,67
47,11,3/15/2024,Billing,Low,3
48,11,11/3/2024,Billing,Medium,76
49,11,11/30/2024,Billing,High,12
50,11,12/23/2024,Billing,Low,30
51,11,11/14/2024,Technical,Low,3
52,11,12/1/2024,Billing,Low,9
53,11,10/10/2024,Billing,Low,42
54,12,10/11/2024,Billing,Low,43
55,12,11/21/2024,Access,Medium,56
56,12,12/3/2024,Access,Medium,39
57,13,7/21/2024,Access,Medium,119
58,13,12/3/2024,Billing,Low,45
59,13,12/1/2024,Billing,Low,7
60,13,11/10/2024,Billing,Low,22
61,13,6/14/2024,Technical,Medium,90
62,13,7/12/2024,Technical,Medium,30
63,13,12/3/2024,Billing,Low,31
64,13,7/28/2024,Billing,Medium,15
65,13,12/18/2024,Technical,Low,43
66,14,12/4/2023,Access,High,38
67,14,9/20/2023,Billing,Low,41
68,14,12/3/2023,Billing,Medium,25
69,14,11/24/2023,Billing,High,33
70,15,2/25/2023,Billing,Low,20
71,15,2/13/2023,Billing,Low,12
72,15,2/19/2023,Billing,Medium,116
73,15,1/16/2023,Billing,Medium,108
74,15,3/3/2023,Billing,Low,12
75,15,2/19/2023,Billing,Medium,82
76,15,2/16/2023,Billing,Low,23
77,16,2/24/2024,Technical,Medium,99
78,16,8/9/2024,Billing,Low,26
79,16,3/28/2024,Billing,Low,2
80,17,5/24/2024,Billing,High,49
81,18,12/17/2024,Technical,Low,6
82,18,12/17/2024,Technical,Medium,61
83,19,12/21/2024,Access,Medium,31
84,19,12/2/2024,Access,Low,13
85,19,8/10/2024,Billing,Low,34
86,19,12/15/2024,Technical,Medium,88
87,19,8/13/2024,Technical,Low,27
88,19,11/10/2024,Billing,Medium,27
89,20,9/23/2024,Billing,Medium,89
90,21,9/6/2024,Billing,Medium,115
91,21,12/20/2024,Billing,Medium,56
92,21,8/6/2024,Technical,Low,5
93,23,8/14/2024,Technical,Low,1
94,24,12/16/2024,Billing,Low,28
95,24,12/10/2024,Billing,High,52
96,25,12/21/2024,Technical,Low,22
97,25,12/23/2024,Technical,Low,17
98,25,12/19/2024,Technical,Medium,31
99,25,12/23/2024,Access,Medium,40
100,26,8/1/2024,Billing,Low,32
101,26,10/8/2024,Access,Medium,112
102,26,11/2/2024,Billing,Low,38
103,26,12/26/2024,Billing,Medium,61
104,27,3/16/2024,Technical,Medium,47
105,27,3/21/2024,Access,Low,11
106,27,4/4/2024,Access,Medium,55
107,28,12/9/2023,Billing,Low,42
108,28,10/7/2023,Technical,Low,24
109,28,12/16/2023,Access,Low,20
110,28,10/4/2023,Billing,Low,41
111,28,12/29/2023,Access,Medium,69
112,28,12/24/2023,Technical,Low,21
113,28,1/28/2024,Technical,Medium,13
114,28,12/4/2023,Billing,High,21
115,28,12/9/2023,Billing,High,38
116,30,9/29/2024,Billing,Medium,93
117,30,12/23/2024,Access,Low,43
118,30,11/5/2024,Technical,Low,47
119,30,11/23/2024,Technical,Low,44
120,31,2/28/2024,Access,Low,19
121,31,12/21/2023,Technical,Medium,24
122,31,12/6/2023,Technical,Low,45
123,33,8/30/2023,Technical,Low,12
124,33,8/27/2023,Access,Medium,98
125,33,7/13/2023,Access,Medium,62
126,33,7/14/2023,Access,High,15
127,34,12/16/2024,Access,Low,42
128,34,12/22/2024,Billing,High,43
129,34,12/22/2024,Access,Low,12
130,34,12/16/2024,Billing,High,41
131,35,4/28/2024,Access,Medium,101
132,35,10/5/2024,Billing,Low,38
133,36,5/10/2024,Billing,Medium,114
134,36,3/8/2024,Technical,Low,21
135,36,6/15/2024,Billing,High,15
136,36,5/16/2024,Technical,Low,33
137,36,5/3/2024,Technical,Medium,80
138,36,5/30/2024,Access,High,38
139,36,6/4/2024,Access,Medium,114
140,36,4/13/2024,Technical,Low,44
141,36,6/12/2024,Billing,Low,46
142,37,12/2/2023,Access,Low,29
143,38,10/27/2023,Billing,Low,38
144,38,6/14/2023,Billing,Medium,79
145,38,12/23/2024,Technical,Low,9
146,38,11/17/2023,Billing,Low,41
147,39,9/30/2023,Billing,Medium,108
148,39,10/19/2023,Technical,Low,16
149,39,9/26/2023,Billing,Low,23
150,39,10/31/2023,Billing,Low,2
151,39,9/11/2023,Billing,High,59
152,39,9/25/2023,Technical,Low,7
153,39,9/17/2023,Technical,Medium,22
154,40,8/10/2024,Billing,Medium,118
155,40,8/11/2024,Technical,Medium,113
156,40,11/8/2024,Technical,Low,3
157,41,11/5/2023,Access,Low,24
158,41,2/3/2024,Access,Low,19
159,41,3/8/2024,Technical,Low,22
160,42,1/22/2024,Technical,Medium,75
161,42,6/4/2023,Technical,Low,18
162,42,7/5/2023,Billing,Medium,111
163,43,12/23/2024,Billing,Low,23
164,43,12/18/2024,Billing,Low,31
165,43,12/3/2024,Billing,Low,13
166,43,11/14/2024,Billing,Medium,34
167,43,11/5/2024,Billing,Low,47
168,44,11/17/2024,Technical,Low,31
169,44,12/3/2023,Technical,High,56
170,44,10/8/2024,Technical,Low,20
171,45,1/22/2024,Access,Low,31
172,45,4/1/2024,Access,Low,31
173,45,8/3/2024,Billing,Medium,85
174,45,4/2/2024,Technical,Low,40
175,45,1/21/2024,Access,Low,5
176,46,7/9/2024,Billing,Medium,61
177,46,8/28/2024,Access,Low,14
178,47,10/3/2024,Technical,Low,15
179,47,12/14/2024,Access,High,34
180,47,12/30/2024,Access,High,47
181,47,10/17/2024,Technical,Medium,31
182,47,9/14/2024,Billing,Low,10
183,48,10/2/2023,Access,High,11
184,48,2/27/2024,Access,Low,16
185,49,9/17/2024,Technical,Medium,56
186,49,10/23/2024,Access,Low,40
187,50,6/8/2024,Billing,Low,21
188,50,12/1/2024,Billing,Medium,61
189,50,11/16/2024,Technical,Low,15
190,50,10/3/2024,Billing,Low,3
191,50,11/6/2024,Billing,Low,14
192,50,9/7/2024,Billing,Low,22
193,50,12/25/2024,Access,Low,2
194,50,11/29/2024,Billing,Low,37
195,50,12/3/2024,Technical,Medium,33
196,51,12/14/2024,Access,Medium,58
197,51,11/19/2024,Billing,Low,5
198,51,11/14/2024,Access,Medium,56
199,51,11/6/2024,Technical,Medium,103
200,52,7/14/2023,Access,Medium,105
201,52,5/25/2023,Technical,High,21
202,52,7/20/2023,Access,High,54
203,53,10/7/2024,Technical,Low,5
204,53,9/18/2024,Access,Medium,41
205,53,6/10/2024,Access,Medium,62
206,53,4/30/2024,Technical,High,4
207,53,3/20/2024,Access,Low,30
208,54,2/23/2024,Access,Low,27
209,55,8/29/2024,Billing,Low,18
210,55,11/13/2024,Access,Low,33
211,55,9/22/2024,Technical,Medium,56
212,55,9/4/2024,Access,High,34
213,55,7/22/2024,Access,Low,23
214,57,11/17/2024,Access,Medium,86
215,58,11/1/2024,Billing,Low,7
216,58,12/6/2024,Technical,Medium,81
217,58,12/20/2024,Billing,Low,35
218,58,12/30/2024,Access,Medium,41
219,59,2/24/2024,Billing,High,14
220,59,5/11/2024,Billing,High,10
221,59,2/19/2024,Access,Medium,31
222,59,6/10/2024,Billing,Medium,28
223,59,4/17/2024,Technical,High,47
224,59,4/18/2024,Access,Low,20
225,59,5/19/2024,Billing,Low,2
226,59,5/27/2024,Billing,Low,25
227,59,5/19/2024,Technical,Low,39
228,59,4/24/2024,Technical,Low,26
229,59,5/8/2024,Technical,Low,2
230,60,12/9/2024,Billing,Medium,20
231,60,12/23/2024,Technical,Low,2
232,60,11/5/2024,Billing,Low,35
233,60,11/18/2024,Access,Low,24
234,60,12/1/2024,Billing,Low,40
235,60,11/18/2024,Technical,Medium,78
236,60,11/20/2024,Billing,High,5
237,60,9/5/2024,Technical,Low,6
238,60,11/15/2024,Technical,Low,36
239,60,11/7/2024,Billing,Medium,40
240,60,11/24/2024,Billing,High,60
241,61,11/29/2023,Billing,Low,13
242,61,1/3/2024,Access,Low,23
243,61,8/9/2023,Access,Medium,70
244,61,9/1/2023,Technical,Low,28
245,61,12/10/2023,Technical,Low,23
246,63,8/3/2023,Billing,Medium,19
247,63,7/13/2024,Technical,Medium,79
248,63,2/7/2024,Access,Low,44
249,63,11/22/2023,Billing,Medium,60
250,63,3/19/2023,Technical,Low,13
251,64,6/29/2023,Billing,Medium,111
252,64,8/31/2023,Billing,Low,34
253,64,12/6/2023,Billing,Medium,24
254,64,10/19/2023,Billing,Low,1
255,64,6/16/2023,Technical,Low,21
256,64,11/9/2023,Access,Low,3
257,64,12/13/2023,Access,Low,9
258,64,12/14/2023,Access,Low,36
259,65,12/6/2024,Technical,Medium,35
